# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       39.566    19310.867
       2.000      280.900      718.453    21456.090
       4.003      293.700     1332.527    21456.090
       6.004      108.400     1859.199    21456.090
       8.007      105.900     2167.801    21456.090
      10.009       99.900     2703.793    21456.090
      12.011      117.900     3020.480    21456.090
      14.012      218.400     3043.879    21456.090
      16.015      143.300     3023.949    21456.090
      18.017      103.900     3023.949    21456.090
      20.019      108.400     3024.473    21456.090
      22.021      104.400     3024.582    21456.090
      24.024      104.400     3024.582    21456.090
      26.026       99.900     3024.582    21456.090
      28.028      104.400     3024.582    21456.090
      30.030      103.900     3024.582    21456.090
      32.032      105.900     3024.582    21456.090
      34.035      105.900     3040.871    21456.090
      36.036      124.900     3053.289    21456.090
      38.039      113.900     3061.105    21456.090
      40.041       99.900     3061.105    21456.090
      42.043      100.900     3045.902    21456.090
      44.045      101.400     3045.902    21456.090
      46.048      101.400     3045.902    21456.090
      48.050      100.900     3045.902    21456.090
      50.052      100.900     3046.887    21456.090
      52.054      100.400     3046.953    21456.090
      54.057      101.400     3047.434    21456.090
      56.059      101.400     3047.668    21456.090
      58.061      101.400     3048.352    21456.090
      60.063       99.900     3048.352    21456.090
      62.065      100.900     3048.352    21456.090
      64.068      101.400     3048.352    21456.090
      66.070      101.400     3048.352    21456.090
      68.072      100.900     3048.555    21456.090
      70.074       99.900     3048.555    21456.090
      72.077      101.900     3048.555    21456.090
      74.079      101.400     3048.555    21456.090
      76.081      100.900     3048.555    21456.090
      78.083      101.400     3048.555    21456.090
      80.086      143.300     3065.848    21456.090
      82.088      114.900     3051.832    21456.090
      84.090      102.900     3051.887    21456.090
      86.092       99.900     3051.887    21456.090
      88.094      100.400     3051.891    21456.090
      90.096      100.400     3051.891    21456.090
      92.099      100.400     3051.891    21456.090
      94.100      100.400     3052.020    21456.090
      96.103      100.400     3052.020    21456.090
      98.105       99.900     3052.020    21456.090
     100.107      104.400     3052.020    21456.090
     102.109       99.900     3052.020    21456.090
     104.112      100.400     3052.020    21456.090
     106.114      100.400     3052.020    21456.090
     108.116       99.900     3052.020    21456.090
     110.116      100.000     3052.020    21456.090
     112.119       99.900     3052.020    21456.090
     114.121      100.400     3052.020    21456.090
     116.123       99.900     3052.020    21456.090
     118.125      100.400     3052.090    21456.090
     120.128       99.900     3052.090    21456.090
     122.130       99.900     3052.090    21456.090
     124.132      100.400     3052.090    21456.090
     126.132      100.000     3052.090    21456.090
     128.135       99.900     3052.090    21456.090
     130.137      100.400     3052.090    21456.090
     132.139       99.900     3052.090    21456.090
     134.141       99.900     3052.090    21456.090
     136.144      100.400     3052.090    21456.090
     138.144      101.000     3052.090    21456.090
     140.147       99.900     3052.090    21456.090
     142.149       99.900     3052.090    21456.090
     144.151      100.400     3052.090    21456.090
     146.153       99.900     3052.090    21456.090
     148.156       99.900     3052.090    21456.090
