# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       39.305    19315.520
       2.000      175.000     1065.906    20420.633
       4.003      147.800     1711.004    20424.664
       6.004      151.400     2415.465    20556.695
       8.007      176.800     2677.871    20880.727
      10.008      126.900     2674.664    20880.727
      12.011      128.900     2674.664    20880.727
      14.012      125.900     2674.664    20880.727
      16.013      125.900     2671.586    20880.727
      18.016      129.900     2671.844    20880.727
      20.018      128.400     2671.844    20880.727
      22.020      126.900     2671.844    20880.727
      24.022      126.400     2671.844    20880.727
      26.025      125.900     2671.844    20880.727
      28.027      126.400     2671.844    20880.727
      30.029      127.400     2672.102    20880.727
      32.031      126.900     2672.102    20880.727
      34.032      127.900     2672.102    20880.727
      36.035      127.400     2672.102    20880.727
      38.036      127.900     2672.102    20880.727
      40.039      127.900     2672.102    20880.727
      42.041      128.900     2672.102    20880.727
      44.043      126.900     2672.102    20880.727
      46.044      174.900     2673.383    20880.727
      48.045      147.000     2673.383    20880.727
      50.047      145.300     2673.383    20880.727
      52.050      145.300     2673.383    20880.727
      54.052      145.300     2673.383    20880.727
      56.054      144.800     2673.383    20880.727
      58.055      145.400     2673.383    20880.727
      60.056      146.400     2673.383    20880.727
      62.059      145.800     2673.383    20880.727
      64.060      145.400     2673.383    20880.727
      66.063      143.800     2673.383    20880.727
      68.064      143.900     2673.383    20880.727
      70.067      143.800     2673.383    20880.727
      72.069      145.300     2673.383    20880.727
      74.071      143.800     2673.383    20880.727
      76.074      143.800     2673.383    20880.727
      78.076      143.300     2673.383    20880.727
      80.078      144.800     2673.383    20880.727
      82.080      144.300     2673.383    20880.727
      84.082      144.400     2673.383    20880.727
      86.084      144.300     2673.383    20880.727
      88.084      144.400     2673.383    20880.727
      90.087      144.800     2673.383    20880.727
      92.089      146.300     2673.383    20880.727
      94.091      144.300     2673.383    20880.727
      96.092      145.900     2673.383    20880.727
      98.095      146.300     2673.383    20880.727
     100.096      170.900     2679.523    20880.727
     102.099      105.400     2680.520    20880.727
     104.100      100.400     2680.520    20880.727
     106.103       99.900     2680.520    20880.727
     108.105      100.400     2680.520    20880.727
     110.107       99.900     2680.520    20880.727
     112.109      100.400     2680.520    20880.727
     114.112       99.900     2680.520    20880.727
     116.114      101.400     2680.520    20880.727
     118.116       99.900     2680.520    20880.727
     120.116      100.000     2680.520    20880.727
     122.119       99.900     2680.520    20880.727
     124.121      100.400     2680.520    20880.727
     126.123       99.900     2680.520    20880.727
     128.124      100.400     2680.520    20880.727
     130.127      100.900     2680.520    20880.727
     132.128       99.900     2680.520    20880.727
     134.131       99.900     2680.520    20880.727
     136.133      100.400     2680.520    20880.727
     138.135       99.900     2680.520    20880.727
     140.137      100.900     2680.520    20880.727
     142.140       99.900     2680.520    20880.727
     144.142      100.400     2680.520    20880.727
     146.144       99.900     2680.520    20880.727
     148.144      100.000     2680.520    20880.727
     150.147      101.900     2680.520    20880.727
     152.147      100.000     2680.520    20880.727
     154.148      100.400     2680.520    20880.727
     156.151       99.900     2680.520    20880.727
     158.152       99.900     2680.520    20880.727
     160.155       99.900     2680.520    20880.727
     162.157      100.400     2680.520    20880.727
